mensaje,categoria
"Hola, tienen stock de zapatillas talla 40?","stock"
"Quisiera saber si queda disponible el modelo negro en talla 42","stock"
"Buenas, tienen sandalias color beige en talla 38?","stock"
"Hay stock de botas para mujer en talla 37?","stock"
"Necesito confirmar si tienen el modelo urbano en color blanco","stock"
"Tienen disponible zapatillas rojas talla 39?","stock"
"Queda alguna talla 41 del modelo deportivo?","stock"
"Me pueden decir si hay stock del producto en azul?","stock"
"Busco el mismo modelo pero en talla 36, lo tienen?","stock"
"Hola, aun tienen disponible la talla 43?","stock"
"Quiero comprar unas zapatillas, pero antes necesito saber si hay stock","stock"
"Tienen el modelo clasico en color marron?","stock"
"Hay disponibilidad de zapatillas para nino talla 32?","stock"
"Me confirman si queda stock de botines negros?","stock"
"Tienen zapatos formales en talla 42?","stock"
"Queda disponible el modelo que publicaron hoy?","stock"
"Deseo saber si tienen tallas grandes disponibles","stock"
"Hay stock de zapatillas blancas para mujer?","stock"
"Tienen talla 35 en el modelo rosado?","stock"
"Me interesa el producto, pero quiero saber si aun queda","stock"
"Tienen disponible el color negro del modelo Runner?","stock"
"Necesito saber si hay talla 40 antes de pagar","stock"
"Queda stock para retiro en tienda?","stock"
"El producto de la foto esta disponible?","stock"
"Tienen mas unidades del modelo casual?","stock"
"Hay stock en talla 38 para entrega hoy?","stock"
"Me avisan si todavia queda el modelo marron?","stock"
"Quiero saber si tienen zapatillas altas disponibles","stock"
"Tienen el modelo escolar en talla 34?","stock"
"Hay disponibilidad para zapatillas negras talla 41?","stock"
"Buenas tardes, tienen stock de zapatos color vino?","stock"
"Quisiera saber si manejan talla 44","stock"
"Esta disponible el producto que vi en Instagram?","stock"
"Tienen la misma zapatilla en color gris?","stock"
"Hay stock del modelo con plataforma?","stock"
"Necesito talla 39, esta disponible?","stock"
"Tienen botas negras en talla 37?","stock"
"Me pueden confirmar si tienen el par en tienda?","stock"
"Queda stock del producto promocionado?","stock"
"Tienen zapatillas para hombre en talla 43?","stock"
"Hay unidades disponibles para compra inmediata?","stock"
"Quiero saber si el modelo deportivo aun esta en tienda","stock"
"Tienen disponibilidad del color blanco con negro?","stock"
"Me interesa la talla 36, queda alguna unidad?","stock"
"Hay stock de mocasines talla 40?","stock"
"Queda el modelo de cuero sintetico?","stock"
"Tienen zapatos bajos en color nude?","stock"
"Deseo confirmar stock antes de hacer el deposito","stock"
"Esta disponible la talla 42 para envio a provincia?","stock"
"Tienen el modelo negro con suela blanca?","stock"
"Mi pedido llego incompleto y necesito una solucion","reclamo"
"Estoy molesto porque me enviaron un producto diferente","reclamo"
"Hice el pago y nadie me responde desde ayer","reclamo"
"El par llego con una falla en la costura","reclamo"
"Me mandaron otra talla y no fue lo que pedi","reclamo"
"El producto vino manchado y quiero reportarlo","reclamo"
"Nadie atiende mis mensajes sobre el problema de mi compra","reclamo"
"Mi pedido llego dañado y no me dan respuesta","reclamo"
"Me cobraron doble y necesito que revisen mi caso","reclamo"
"La atencion fue muy mala y quiero dejar un reclamo","reclamo"
"Recibi una caja rota y el producto estaba golpeado","reclamo"
"El pedido aparece entregado, pero no recibi nada","reclamo"
"Me prometieron enviar hoy y no cumplieron","reclamo"
"Estoy esperando una respuesta hace varios dias","reclamo"
"El color que recibi no coincide con la publicacion","reclamo"
"Me enviaron el modelo equivocado y necesito ayuda","reclamo"
"Pague por envio rapido y llego tarde","reclamo"
"El producto se despego al primer uso","reclamo"
"No estoy conforme con la compra por la mala calidad","reclamo"
"Quiero presentar una queja por falta de respuesta","reclamo"
"Mi pedido llego sin boleta y necesito reclamar","reclamo"
"El zapato vino con una marca visible","reclamo"
"Me indicaron un precio y luego me cobraron otro","reclamo"
"El servicio de entrega fue muy desordenado","reclamo"
"Me dejaron esperando y nunca confirmaron mi compra","reclamo"
"La talla enviada no corresponde a la etiqueta","reclamo"
"Tengo un problema con el pedido y no me contestan","reclamo"
"El producto parece usado y quiero reportarlo","reclamo"
"No respetaron la promocion publicada","reclamo"
"Me siento mal atendido por el seguimiento de mi compra","reclamo"
"La suela vino rota y necesito una solucion urgente","reclamo"
"Mi compra llego con accesorios faltantes","reclamo"
"No llego todo lo que compre","reclamo"
"El empaque estaba abierto cuando recibi el pedido","reclamo"
"Me enviaron dos productos iguales por error","reclamo"
"Quiero reclamar porque mi pedido fue cancelado sin aviso","reclamo"
"El producto no es igual a la foto de la tienda","reclamo"
